entity_id,entity_name,icon,property_id,property_name,logical_type,mandatory,max_len,semantic_type_id,possible_values_count,possible_values
ET1,Location,Place,PT97,Match Unique Value,SINGLE_LINE_STRING,false,250,,0,
ET1,Location,Place,PT1401,SourceItemId,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,EVE3,Event Type,SUGGESTED_FROM,false,250,guid7861226D-5D80-4ef8-9ED9-029D54C228EF,12,<Unknown> | Custody | Arrest | Finance: Bank Credit | Finance: Bank Debit | House Search | Maritime Event | Meeting | Observation | Operation | Seizure | Stop and Search
ET2,Maritime Event,Inflatable,EVE4,Event Start Date and Time,DATE_AND_TIME,false,,guid770074b2-0235-4ade-aca0-f64f9d1986f9,0,
ET2,Maritime Event,Inflatable,EVE5,Event End Date and Time,DATE_AND_TIME,false,,guid9f0adde3-bdcd-4f36-b657-fc0bdf7a10d5,0,
ET2,Maritime Event,Inflatable,EVE6,Event Description,MULTIPLE_LINE_STRING,false,,guidAF9E50C6-9A4B-4EAC-B556-A6FC438E734D,0,
ET2,Maritime Event,Inflatable,PT1162,HO Maritime Event,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1163,Event Date,DATE,false,,,0,
ET2,Maritime Event,Inflatable,PT1483,POB,INTEGER,false,,,0,
ET2,Maritime Event,Inflatable,PT1484,Fatalities,INTEGER,false,,,0,
ET2,Maritime Event,Inflatable,PT1485,Launch Location,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1486,Event Time,TIME,false,,,0,
ET2,Maritime Event,Inflatable,PT1564,Vessel Type,SUGGESTED_FROM,false,250,,1,Improvised Inflatable
ET2,Maritime Event,Inflatable,PT1565,Commercially Produced Vessel Type,SUGGESTED_FROM,false,250,,0,
ET2,Maritime Event,Inflatable,PT1566,Dimensions,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1567,Serial Number,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1568,Bow,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1569,Baffles,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1570,Handles,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1571,Flooring,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1572,Transom,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1573,Rope Connectors Type,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1574,Condition of Boat Factor1,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1575,Condition of Boat Factor2,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1576,Engine Serial No.,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1577,Engine Make,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1578,Engine Model,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1579,Engine Colour,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1580,Engine Condition,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1581,Engine Distinguishing Marks,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1588,Colour,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1589,Initial Sighting Latitude,DECIMAL,false,,,0,
ET2,Maritime Event,Inflatable,PT1590,Initial Sighting Longitude,DECIMAL,false,,,0,
ET2,Maritime Event,Inflatable,PT1591,Initial Sighting Geo Location,GEOSPATIAL,false,,,0,
ET2,Maritime Event,Inflatable,PT1592,Assessed Latitude,DECIMAL,false,,,0,
ET2,Maritime Event,Inflatable,PT1593,Assessed Longitude,DECIMAL,false,,,0,
ET2,Maritime Event,Inflatable,PT1594,Assessed Geo Location,GEOSPATIAL,false,,,0,
ET2,Maritime Event,Inflatable,PT1595,Life Jackets Worn,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1596,Life Jacket Country of Origin,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1597,Other Buoyancy Aids Used,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1598,Fuel Cans,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1599,Inflation Pumps,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1600,Serial Number On Transom,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1601,FEN,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,EVE8,Additional Information,MULTIPLE_LINE_STRING,false,,guid359AD9EB-8AC2-4c0d-82E6-AA77734CC423,0,
ET2,Maritime Event,Inflatable,PT4,Latitude,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT41,Longitude,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT42,Easting,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT43,Northing,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT44,Geographic Location,GEOSPATIAL,false,,,0,
ET2,Maritime Event,Inflatable,PT279,3x5x2,SINGLE_LINE_STRING,false,3,,0,
ET2,Maritime Event,Inflatable,PT319,3x5x2 Action,SELECTED_FROM,false,250,,3,A1: Covert Development.  May be combined or corroborated with other intelligence but action cannot be taken directly. Permission must be sought from the originator | A2: Covert Use. Covert action may be taken on this intelligence although the source or techniques must be protected. May not be used in isolation as evidence | A3: Overt Use. Overt action is permitted on this intelligence.  See additional notes for what this information can be used for.
ET2,Maritime Event,Inflatable,PT371,3x5x2 Sanitisation,SELECTED_FROM,false,250,,2,S1. Delegate Authority. The originator of the intelligence DOES PERMIT the unsupervised sanitisation of the material in order to allow dissemination to a wider audience | S2. Consult Originator. The originator of the intelligence DOES NOT PERMIT the sanitisation of the material for a wider dissemination without consultation being sought
ET2,Maritime Event,Inflatable,PT422,3x5x2 Notes,MULTIPLE_LINE_STRING,false,,,0,
ET2,Maritime Event,Inflatable,PT474,Intelligence Date,DATE,false,,,0,
ET2,Maritime Event,Inflatable,PT529,IR or Reference,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT93,Match Unique Value,SINGLE_LINE_STRING,false,250,,0,
ET2,Maritime Event,Inflatable,PT1389,SourceItemId,SINGLE_LINE_STRING,false,250,,0,
ET3,Vehicle,Nplate,VEH36,Engine Number,SINGLE_LINE_STRING,false,250,,0,
ET3,Vehicle,Nplate,VEH37,Chassis Number,SINGLE_LINE_STRING,false,250,,0,
ET3,Vehicle,Nplate,VEH38,Vehicle Identification Number (VIN),SINGLE_LINE_STRING,false,250,guid52FF1D68-FA10-495C-AA62-CB327FE84639,0,
ET3,Vehicle,Nplate,VEH2,VRM,SINGLE_LINE_STRING,true,250,guidD1F35949-FC3C-4985-B068-F09B74CE1AE3,0,
ET3,Vehicle,Nplate,VEH3,Vehicle Type,SUGGESTED_FROM,false,250,guidF98B951F-335E-4157-B5F2-55C032B06295,16,Car | HGV Tractor Unit | Motorcycle | Van - Car Derived | Van | Ambulance | Bicycle | Bus | E-Bike/Scooter | Fire Engine | Human Powered Vehicle (not Bicycle) | Motor Scooter | Police Vehicle | Taxi | Other | <Unknown>
ET3,Vehicle,Nplate,VEH4,Vehicle Make,SINGLE_LINE_STRING,false,250,guidB99BE38F-0357-4ADA-82F5-69688D742889,0,
ET3,Vehicle,Nplate,VEH5,Vehicle Model,SINGLE_LINE_STRING,false,250,guid160717BD-C494-476C-8377-7D9B6CD6B88B,0,
ET3,Vehicle,Nplate,VEH9,Vehicle Color,SUGGESTED_FROM,false,250,guid63CF5DCD-A409-463D-80AA-988770FF665C,15,<Unknown> | Black | Blue | Brown | Gold | Green | Grey | Multicolored | Orange | Pink | Purple | Red | Silver | White | Yellow
ET3,Vehicle,Nplate,VEH10,Engine Size,DECIMAL,false,,,0,
ET3,Vehicle,Nplate,VEH28,Engine Size (Units),SUGGESTED_FROM,false,250,,4,<Unknown> | cc | l | CI
ET3,Vehicle,Nplate,VEH11,Year of Manufacture,INTEGER,false,,guid082FD542-21EB-4c31-9ED0-B01948807BC3,0,
ET3,Vehicle,Nplate,VEH14,Fuel Type,SUGGESTED_FROM,false,250,,7,<Unknown> | Unleaded | Diesel | Biodiesel | Liquefied Petroleum Gas | Electric | Compressed Natural Gas
ET3,Vehicle,Nplate,VEH40,Additional Information,MULTIPLE_LINE_STRING,false,,guid359AD9EB-8AC2-4c0d-82E6-AA77734CC423,0,
ET3,Vehicle,Nplate,PT298,3x5x2,SINGLE_LINE_STRING,false,3,,0,
ET3,Vehicle,Nplate,PT340,3x5x2 Action,SELECTED_FROM,false,250,,3,A1: Covert Development.  May be combined or corroborated with other intelligence but action cannot be taken directly. Permission must be sought from the originator | A2: Covert Use. Covert action may be taken on this intelligence although the source or techniques must be protected. May not be used in isolation as evidence | A3: Overt Use. Overt action is permitted on this intelligence.  See additional notes for what this information can be used for.
ET3,Vehicle,Nplate,PT391,3x5x2 Sanitisation,SELECTED_FROM,false,250,,2,S1. Delegate Authority. The originator of the intelligence DOES PERMIT the unsupervised sanitisation of the material in order to allow dissemination to a wider audience | S2. Consult Originator. The originator of the intelligence DOES NOT PERMIT the sanitisation of the material for a wider dissemination without consultation being sought
ET3,Vehicle,Nplate,PT443,3x5x2 Notes,MULTIPLE_LINE_STRING,false,,,0,
ET3,Vehicle,Nplate,PT494,Intelligence Date,DATE,false,,,0,
ET3,Vehicle,Nplate,PT549,IR or Reference,SINGLE_LINE_STRING,false,250,,0,
ET3,Vehicle,Nplate,PT782,Booking Ref:,SINGLE_LINE_STRING,false,250,,0,
ET3,Vehicle,Nplate,PT1416,SourceItemId,SINGLE_LINE_STRING,false,250,,0,
ET4,Organisation,Organ,ORG2,Organisation Name,SINGLE_LINE_STRING,true,250,guidB2A3B23C-07B8-4A87-8B45-4CD20079E79C,0,
ET4,Organisation,Organ,ORG3,Organisation Type,SUGGESTED_FROM,false,250,guidB11A89A6-F50C-4c73-949F-00594985DA69,49,<Unknown> | Advertising | Agency | Air Force | Airport Terminal | Apartment Building | Architect | Agriculture | Army | Bank | Bar/Restaurant | Casino | Catering | Church | Commercial Firm | Criminal | Education | Factory | Financial Institution | Garage | Government | Common Carrier (Haulage) | Hospital | Hotel | Information Technology | Intelligence Service | Laboratory | Law | Manufacturing | Medical Lab. | Military | Militia | Navy | NGO | Non-profit | Organization | Paramilitary | Political | Printing | Prison | Public House | Religious | Restaurant | Retail | Supermarket | Terrorist | Training | Transport | Warehouse
ET4,Organisation,Organ,ORG11,Company/Registration Number,SINGLE_LINE_STRING,false,250,guid694EB231-9982-46FE-A40E-3D9165582101,0,
ET4,Organisation,Organ,ORG5,Date Established,DATE,false,,guid9B359855-D9C4-468f-81A2-9DB9C87D32EE,0,
ET4,Organisation,Organ,ORG6,Date of Closure,DATE,false,,guid80860455-202C-4ddf-85A9-AE576D66BD56,0,
ET4,Organisation,Organ,ORG7,Additional Information,MULTIPLE_LINE_STRING,false,,guid359AD9EB-8AC2-4c0d-82E6-AA77734CC423,0,
ET4,Organisation,Organ,PT291,3x5x2,SINGLE_LINE_STRING,false,3,,0,
ET4,Organisation,Organ,PT333,3x5x2 Action,SELECTED_FROM,false,250,,3,A1: Covert Development.  May be combined or corroborated with other intelligence but action cannot be taken directly. Permission must be sought from the originator | A2: Covert Use. Covert action may be taken on this intelligence although the source or techniques must be protected. May not be used in isolation as evidence | A3: Overt Use. Overt action is permitted on this intelligence.  See additional notes for what this information can be used for.
ET4,Organisation,Organ,PT384,3x5x2 Sanitisation,SELECTED_FROM,false,250,,2,S1. Delegate Authority. The originator of the intelligence DOES PERMIT the unsupervised sanitisation of the material in order to allow dissemination to a wider audience | S2. Consult Originator. The originator of the intelligence DOES NOT PERMIT the sanitisation of the material for a wider dissemination without consultation being sought
ET4,Organisation,Organ,PT435,3x5x2 Notes,MULTIPLE_LINE_STRING,false,,,0,
ET4,Organisation,Organ,PT487,Intelligence Date,DATE,false,,,0,
ET4,Organisation,Organ,PT542,IR or Reference,SINGLE_LINE_STRING,false,250,,0,
ET4,Organisation,Organ,PT100,Match Unique Value,SINGLE_LINE_STRING,false,250,,0,
ET4,Organisation,Organ,PT1407,SourceItemId,SINGLE_LINE_STRING,false,250,,0,
ET5,Person,Person (Shaded Shirt),PER3,Title,SUGGESTED_FROM,false,250,guid45E7897F-0DC6-4AD0-AAC6-73A780DD78BE,6,<Unknown> | Mr | Mrs | Miss | Ms | Dr
ET5,Person,Person (Shaded Shirt),PER4,First Name,SINGLE_LINE_STRING,false,250,guid4DE7370B-60E5-4EB0-860E-4066D3DFD7B6,0,
ET5,Person,Person (Shaded Shirt),PER5,Middle Name,SINGLE_LINE_STRING,false,250,guidBE6A2505-B545-464C-B407-51F9847ECE39,0,
ET5,Person,Person (Shaded Shirt),PER6,Surname,SINGLE_LINE_STRING,false,250,guid62B01C18-2E64-46D5-B2FF-3C69B4F76FEB,0,
ET5,Person,Person (Shaded Shirt),PER96,Maiden Name,SINGLE_LINE_STRING,false,250,guid699AD2D5-B30B-4508-9349-0E1AC1FF876C,0,
ET5,Person,Person (Shaded Shirt),PT133,Warning Marker,SUGGESTED_FROM,false,250,,19,None | Ailment | Alleges | Contagious | Drugs | Duty Of Care | Escaper | Explosives | F/Impers | Firearms | M/Impers | Mental | Self Harm | Suicidal | Sex Offender | Violent | VISOR | Vulnerable Person | Weapons
ET5,Person,Person (Shaded Shirt),PT134,Warning Marker 2,SUGGESTED_FROM,false,250,,19,None | Ailment | Alleges | Contagious | Drugs | Duty Of Care | Escaper | Explosives | F/Impers | Firearms | M/Impers | Mental | Self Harm | Suicidal | Sex Offender | Violent | VISOR | Vulnerable Person | Weapons
ET5,Person,Person (Shaded Shirt),PT513,Warning Marker 3,SUGGESTED_FROM,false,250,,19,None | Ailment | Alleges | Contagious | Drugs | Duty Of Care | Escaper | Explosives | F/Impers | Firearms | M/Impers | Mental | Self Harm | Suicidal | Sex Offender | Violent | VISOR | Vulnerable Person | Weapons
ET5,Person,Person (Shaded Shirt),PT514,Warning Marker 4,SUGGESTED_FROM,false,250,,19,None | Ailment | Alleges | Contagious | Drugs | Duty Of Care | Escaper | Explosives | F/Impers | Firearms | M/Impers | Mental | Self Harm | Suicidal | Sex Offender | Violent | VISOR | Vulnerable Person | Weapons
ET5,Person,Person (Shaded Shirt),PT515,Warning Marker Additional Notes,MULTIPLE_LINE_STRING,false,,,0,
ET5,Person,Person (Shaded Shirt),PT682,Alias Of,SINGLE_LINE_STRING,false,250,,0,
ET5,Person,Person (Shaded Shirt),PT683,Has Alias,SINGLE_LINE_STRING,false,250,,0,
ET5,Person,Person (Shaded Shirt),PT1112,Nickname(s),SINGLE_LINE_STRING,false,250,,0,
ET5,Person,Person (Shaded Shirt),PT1655,Full Name,SINGLE_LINE_STRING,false,250,,0,
ET5,Person,Person (Shaded Shirt),PT1650,Name,SINGLE_LINE_STRING,false,250,,0,
ET5,Person,Person (Shaded Shirt),PT727,Subject No.,SINGLE_LINE_STRING,false,250,,0,
ET5,Person,Person (Shaded Shirt),PER9,Date of Birth,DATE,false,,guidFE45F1C4-B198-4111-8123-F42D2CD6419D,0,
ET5,Person,Person (Shaded Shirt),PER15,Gender,SUGGESTED_FROM,false,250,guid7548369B-BA9A-4C4B-AEAD-0CB442EAFA27,5,Female | Male | Non-Binary | Transgender | Unknown
ET5,Person,Person (Shaded Shirt),PER37,Deceased,SELECTED_FROM,false,250,,3,<Unknown> | Yes | No
ET5,Person,Person (Shaded Shirt),PER10,Date and Time of Death,DATE_AND_TIME,false,,guid63702CA1-9334-4E99-B373-53D8FDE998B6,0,
ET5,Person,Person (Shaded Shirt),PER11,Place of Birth,SINGLE_LINE_STRING,false,250,guidbfd2860d-c671-438c-a724-68031350bf69,0,
ET5,Person,Person (Shaded Shirt),PER93,Country Of Birth,SINGLE_LINE_STRING,false,250,,0,
